date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:20:16	23141/23141	---M-Z	200	added ('OK')	text/html	etag:%227cf64d9619be33240b635ff0f7721449-ssl-df%22	https://dashboard.babymatic.io/	C:/My%20Web%20Sites/dashboard/dashboard.babymatic.io/index.html	(from )
22:20:16	1439/1439	---MCZ	404	error ('Not%20Found')	text/html	etag:1628496962-ssl-df	https://dashboard.babymatic.io/robots.txt		(from )
22:20:17	420084/420084	---M--	200	added ('OK')	image/png	etag:%2272a8d1ca6a12bf39fcaab40548b639ef-ssl%22	https://dashboard.babymatic.io/theme-assets/images/logo.png	C:/My%20Web%20Sites/dashboard/dashboard.babymatic.io/theme-assets/images/logo.png	(from https://dashboard.babymatic.io/)
22:20:18	31000/31000	---M-Z	200	added ('OK')	text/css	etag:%225eb03e5f-7918%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	C:/My%20Web%20Sites/dashboard/cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	(from https://dashboard.babymatic.io/)
22:20:18	341302/341302	---M-Z	200	added ('OK')	text/css	etag:a8e87f56c61b9f8568d329d2e249f87c4efd078f-df	https://d33wubrfki0l68.cloudfront.net/bundles/217b190115d347e1eb7725a320b0e9c04c72f3cd.css	C:/My%20Web%20Sites/dashboard/d33wubrfki0l68.cloudfront.net/bundles/217b190115d347e1eb7725a320b0e9c04c72f3cd.css	(from https://dashboard.babymatic.io/)
22:20:18	1338/1338	---M-Z	200	added ('OK')	text/css	etag:bb93318f6632c41718bd5e8eb6ed8752add5de28-df	https://d33wubrfki0l68.cloudfront.net/css/af075083d91ca6ee0ef03c6d3336ca48392614c0/theme-assets/css/demo.min.css	C:/My%20Web%20Sites/dashboard/d33wubrfki0l68.cloudfront.net/css/af075083d91ca6ee0ef03c6d3336ca48392614c0/theme-assets/css/demo.min.css	(from https://dashboard.babymatic.io/)
22:20:18	92172/92172	---M-Z	200	added ('OK')	text/css	etag:f7ab7c79334b682522897256c3f889006547cf61-df	https://d33wubrfki0l68.cloudfront.net/css/6160829571382c525ac012e67e486521330822c2/theme-assets/css/template-3d-animation.css	C:/My%20Web%20Sites/dashboard/d33wubrfki0l68.cloudfront.net/css/6160829571382c525ac012e67e486521330822c2/theme-assets/css/template-3d-animation.css	(from https://dashboard.babymatic.io/)
22:20:19	80/80	---M--	200	added ('OK')	text/css	etag:5964f993f9263b368dd2407c78a54b78331b1b74	https://d33wubrfki0l68.cloudfront.net/css/39d0988201bf5106054cea9cca5966a4a474e326/assets/css/style.css	C:/My%20Web%20Sites/dashboard/d33wubrfki0l68.cloudfront.net/css/39d0988201bf5106054cea9cca5966a4a474e326/assets/css/style.css	(from https://dashboard.babymatic.io/)
22:20:20	14707/14707	---M--	200	added ('OK')	image/png	etag:a04934feceeaf9a64d118823d1101c3eb98d6f55	https://d33wubrfki0l68.cloudfront.net/6eee841aee05f4ab2b0450248905b694f08017a1/bb435/theme-assets/images/cg.png	C:/My%20Web%20Sites/dashboard/d33wubrfki0l68.cloudfront.net/6eee841aee05f4ab2b0450248905b694f08017a1/bb435/theme-assets/images/cg.png	(from https://dashboard.babymatic.io/)
22:20:20	4522/4522	---M--	200	added ('OK')	image/png	etag:ee960797b84519e501c5087f03f8b23d9ca33462	https://d33wubrfki0l68.cloudfront.net/cdab4aaa7bc9b6515c36ff6950a4f39439519849/0c1d3/theme-assets/images/cmc.png	C:/My%20Web%20Sites/dashboard/d33wubrfki0l68.cloudfront.net/cdab4aaa7bc9b6515c36ff6950a4f39439519849/0c1d3/theme-assets/images/cmc.png	(from https://dashboard.babymatic.io/)
22:20:20	420084/420084	---M--	200	added ('OK')	image/png	etag:%2272a8d1ca6a12bf39fcaab40548b639ef-ssl%22	https://dashboard.babymatic.io/theme-assets/images-3d-animation/logo.png	C:/My%20Web%20Sites/dashboard/dashboard.babymatic.io/theme-assets/images-3d-animation/logo.png	(from https://dashboard.babymatic.io/)
22:20:20	420084/420084	---M--	200	added ('OK')	image/png	etag:fb88968ab21a2a617f4508b80e9a1b1ee4a682f0	https://d33wubrfki0l68.cloudfront.net/7c0d654ebc8fc2b660259c3efe3aa9c95675449c/2a7f4/theme-assets/images-3d-animation/logo.png	C:/My%20Web%20Sites/dashboard/d33wubrfki0l68.cloudfront.net/7c0d654ebc8fc2b660259c3efe3aa9c95675449c/2a7f4/theme-assets/images-3d-animation/logo.png	(from https://dashboard.babymatic.io/)
22:20:20	187525/187525	---MCZ	200	added ('OK')	application/javascript	etag:aceb8fd74ffcc1b0d86e5f1dfccb3bbbc3717171-df	https://d33wubrfki0l68.cloudfront.net/js/af25f640f250bd4c13a1e3fa4bdd764e2925225a/theme-assets/vendors/vendors.min.js	C:/My%20Web%20Sites/dashboard/d33wubrfki0l68.cloudfront.net/js/af25f640f250bd4c13a1e3fa4bdd764e2925225a/theme-assets/vendors/vendors.min.js	(from https://dashboard.babymatic.io/)
22:20:21	21122/21122	---M-Z	200	added ('OK')	application/javascript	etag:%22194b732420c7169baa732f0388b7f187-ssl-df%22	https://dashboard.babymatic.io/theme-assets/vendors/flipclock/flipclock.min.js	C:/My%20Web%20Sites/dashboard/dashboard.babymatic.io/theme-assets/vendors/flipclock/flipclock.min.js	(from https://dashboard.babymatic.io/)
22:20:22	120407/120407	---M-Z	200	added ('OK')	application/javascript	etag:%224647541ef5ccfc7d21808ce2bbe9ebba-ssl-df%22	https://dashboard.babymatic.io/theme-assets/vendors/swiper/js/swiper.min.js	C:/My%20Web%20Sites/dashboard/dashboard.babymatic.io/theme-assets/vendors/swiper/js/swiper.min.js	(from https://dashboard.babymatic.io/)
22:20:23	9919/9919	---M-Z	200	added ('OK')	application/javascript	etag:%22fade5368c2a911c238b9d033cb5c1247-ssl%22	https://dashboard.babymatic.io/theme-assets/vendors/waypoints/jquery.waypoints.min.js	C:/My%20Web%20Sites/dashboard/dashboard.babymatic.io/theme-assets/vendors/waypoints/jquery.waypoints.min.js	(from https://dashboard.babymatic.io/)
22:20:23	3649/3649	---M-Z	200	added ('OK')	application/javascript	etag:%22835509efe3cb19ab32a5e243fa522d6f-ssl%22	https://dashboard.babymatic.io/theme-assets/js/theme.min.js	C:/My%20Web%20Sites/dashboard/dashboard.babymatic.io/theme-assets/js/theme.min.js	(from https://dashboard.babymatic.io/)
22:20:24	4062/4062	---MCZ	403	error ('Forbidden')	text/html	date:Thu,%2012%20Aug%202021%2014:19:20%20GMT	https://code.highcharts.com/highcharts.js	C:/My%20Web%20Sites/dashboard/code.highcharts.com/highcharts.f.delayed	(from https://dashboard.babymatic.io/)
22:20:26	1163746/1163746	---MCZ	200	added ('OK')	application/javascript	etag:%2211c1e2-CBKBj3aedzOyuXE1C535ub1XCzM%22	https://unpkg.com/web3@1.2.11/dist/web3.min.js	C:/My%20Web%20Sites/dashboard/unpkg.com/web3@1.2.11/dist/web3.min.js	(from https://dashboard.babymatic.io/)
22:20:27	428153/428153	---MCZ	200	added ('OK')	application/javascript	etag:%2268879-tm7vwPb2IqrA2oEDTYylltO0M54%22	https://unpkg.com/web3modal@1.9.0/dist/index.js	C:/My%20Web%20Sites/dashboard/unpkg.com/web3modal@1.9.0/dist/index.js	(from https://dashboard.babymatic.io/)
22:20:27	22657/22657	---MCZ	200	added ('OK')	application/javascript	etag:%225881-yk4n8EqlvpHDLglCWD85vKUneh8%22	https://unpkg.com/evm-chains@0.2.0/dist/umd/index.min.js	C:/My%20Web%20Sites/dashboard/unpkg.com/evm-chains@0.2.0/dist/umd/index.min.js	(from https://dashboard.babymatic.io/)
22:20:27	35960/35960	---MCZ	200	added ('OK')	application/javascript	etag:%228c78-8aiIHAt6DTXiyYHBtC37524NjvI%22	https://unpkg.com/fortmatic@2.0.6/dist/fortmatic.js	C:/My%20Web%20Sites/dashboard/unpkg.com/fortmatic@2.0.6/dist/fortmatic.js	(from https://dashboard.babymatic.io/)
22:20:27	1062220/1062220	---MCZ	200	added ('OK')	application/javascript	etag:%2210354c-SQkpH4nf0Fs213c6eRJ65TZA0Lo%22	https://unpkg.com/@walletconnect/web3-provider@1.2.1/dist/umd/index.min.js	C:/My%20Web%20Sites/dashboard/unpkg.com/@walletconnect/web3-provider@1.2.1/dist/umd/index.min.js	(from https://dashboard.babymatic.io/)
22:20:28	19919/19919	---MCZ	200	added ('OK')	application/javascript	etag:1d7e004d22c344c79c0060ce8cc843410ea2d321-df	https://d33wubrfki0l68.cloudfront.net/js/71b6e484a2124b7edfd33999cc70fbbbf0285d8b/logic.min.js	C:/My%20Web%20Sites/dashboard/d33wubrfki0l68.cloudfront.net/js/71b6e484a2124b7edfd33999cc70fbbbf0285d8b/logic.min.js	(from https://dashboard.babymatic.io/)
