date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:29:22	23500/23500	---M-Z	200	added ('OK')	text/html	etag:%228e0bae27018d03b4efe7754c96051f8f-ssl-df%22	https://www.babypoocake.app/	C:/My%20Web%20Sites/BPC/www.babypoocake.app/index.html	(from )
15:29:22	1439/1439	---MCZ	404	error ('Not%20Found')	text/html	etag:1628019042-ssl-df	https://www.babypoocake.app/robots.txt		(from )
15:29:23	15244/15244	---M--	200	added ('OK')	image/png	etag:%22e8570cb2c6aac7f5a883d40d64301653-ssl%22	https://www.babypoocake.app/assets/img/favicon_io/apple-touch-icon.png	C:/My%20Web%20Sites/BPC/www.babypoocake.app/assets/img/favicon_io/apple-touch-icon.png	(from https://www.babypoocake.app/)
15:29:23	1840/1840	---M--	200	added ('OK')	image/png	etag:%221b992cbb89b9737a931261a26959d64c-ssl%22	https://www.babypoocake.app/assets/img/favicon_io//favicon-32x32.png	C:/My%20Web%20Sites/BPC/www.babypoocake.app/assets/img/favicon_io/favicon-32x32.png	(from https://www.babypoocake.app/)
15:29:24	834/834	---M--	200	added ('OK')	image/png	etag:%22a9301a26027365077155349b50b29a3e-ssl%22	https://www.babypoocake.app/assets/img/favicon_io//favicon-16x16.png	C:/My%20Web%20Sites/BPC/www.babypoocake.app/assets/img/favicon_io/favicon-16x16.png	(from https://www.babypoocake.app/)
15:29:25	3048/3048	---MCZ	404	error ('Not%20Found')	text/html	etag:1628019042-ssl-df	https://www.babypoocake.app/assets/img/favicon_io/site.webmanifest	C:/My%20Web%20Sites/BPC/www.babypoocake.app/assets/img/favicon_io/site.3.delayed	(from https://www.babypoocake.app/)
15:29:25	68758/68758	---M-Z	200	added ('OK')	text/css	etag:%22beba9f19443281d3c4c2950ea88be706-ssl%22	https://www.babypoocake.app/assets/fonts/font-awesome5.css	C:/My%20Web%20Sites/BPC/www.babypoocake.app/assets/fonts/font-awesome5.css	(from https://www.babypoocake.app/)
15:29:26	95374/95374	---M-Z	200	added ('OK')	text/css	etag:%22472e0ab6e79bfc80af00bc1ac0e10236-ssl%22	https://www.babypoocake.app/assets/vendor/css/animate.css	C:/My%20Web%20Sites/BPC/www.babypoocake.app/assets/vendor/css/animate.css	(from https://www.babypoocake.app/)
15:29:27	428715/428715	---M-Z	200	added ('OK')	text/css	etag:%2214f0d595714e3e6373b3d05c208df657-ssl%22	https://www.babypoocake.app/assets/css/main.css	C:/My%20Web%20Sites/BPC/www.babypoocake.app/assets/css/main.css	(from https://www.babypoocake.app/)
15:29:27	199/199	---M--	200	added ('OK')	text/css	etag:%22e1972e9c5097c10381618f09bf8b1151-ssl%22	https://www.babypoocake.app/assets/css/rtl.css	C:/My%20Web%20Sites/BPC/www.babypoocake.app/assets/css/rtl.css	(from https://www.babypoocake.app/)
15:29:28	15391/15391	---M-Z	200	added ('OK')	image/svg+xml	etag:%22cb601d3c5dd78955cb16ddf1eea24fea-ssl%22	https://www.babypoocake.app/assets/img/SVG/logo.svg	C:/My%20Web%20Sites/BPC/www.babypoocake.app/assets/img/SVG/logo.svg	(from https://www.babypoocake.app/)
15:29:29	34869/34869	---M--	200	added ('OK')	image/png	etag:%22d0761db1c3ed1e795d2c79e4c0c012a8-ssl%22	https://www.babypoocake.app/assets/img/poocoin.png	C:/My%20Web%20Sites/BPC/www.babypoocake.app/assets/img/poocoin.png	(from https://www.babypoocake.app/)
15:29:29	9214/9214	---M-Z	200	added ('OK')	image/svg+xml	etag:%221f8ff1668fb9e8775f12c2b608e1aebb-ssl%22	https://www.babypoocake.app/assets/img/SVG/Logotype.svg	C:/My%20Web%20Sites/BPC/www.babypoocake.app/assets/img/SVG/Logotype.svg	(from https://www.babypoocake.app/)
15:29:30	5838/5838	---M-Z	200	added ('OK')	image/svg+xml	etag:%227cfe27544a0f32e3cffa0e4973d10267-ssl%22	https://www.babypoocake.app/assets/img/SVG/Mix.svg	C:/My%20Web%20Sites/BPC/www.babypoocake.app/assets/img/SVG/Mix.svg	(from https://www.babypoocake.app/)
15:29:31	4809/4809	---M--	200	added ('OK')	image/png	etag:%2282535ac81c08a94956a26e6b5d3e7a82-ssl%22	https://www.babypoocake.app/assets/img/LogoPancake.png	C:/My%20Web%20Sites/BPC/www.babypoocake.app/assets/img/LogoPancake.png	(from https://www.babypoocake.app/)
